"","fieldLayer","field","meanWins","lowCI","highCI","count","standardDeviation","N","z","p.vals.adj"
"1","expertiseArea","Development",0.507637,0.39,0.63,89,0.073892,1000,0.103353543008715,0.458841190963563
"2","expertiseArea","Domain",0.493335,0.42,0.56,174,0.04391,1000,-0.151787747665679,0.458841190963563
"3","expertiseArea","Interdisciplinary",0.461013,0.39,0.54,179,0.044987,1000,-0.86662813701736,0.458841190963563
"4","fieldGeneral","Technologies",0.701855,0.53,0.86,16,0.105201,998,1.91875552513759,0.288830224311965
"5","fieldGeneral","Maths/Stats",0.536197,0.33,0.75,38,0.124119,1000,0.291631418235726,0.458841190963563
"6","fieldGeneral","Computer.sciences",0.48232,0.4,0.57,95,0.054928,1000,-0.321875910282551,0.458841190963563
"7","fieldGeneral","Biological.sciences",0.467864,0.42,0.52,313,0.031857,1000,-1.00875788680667,0.458841190963563
"8","fieldGeneral","Health.sciences",0.360596,0.07,0.73,10,0.198065,962,-0.703829550905006,0.458841190963563
"9","fieldGeneral","Engineering",0.341512,0.17,0.59,23,0.127933,1000,-1.23883595319425,0.458841190963563
"10","fieldSpecific","Medical.informatics",0.701855,0.53,0.86,16,0.105201,998,1.91875552513759,0.288830224311965
"11","fieldSpecific","Mathematics",0.585122,0.22,0.89,12,0.212738,998,0.400125976553319,0.458841190963563
"12","fieldSpecific","Molecular.medicine",0.579654,0.26,0.85,12,0.186517,1000,0.42706026796485,0.458841190963563
"13","fieldSpecific","Biostatistics",0.572388,0.31,0.79,21,0.147319,1000,0.491369069841636,0.458841190963563
"14","fieldSpecific","Biology",0.543352,0.39,0.74,15,0.105309,999,0.411664720014433,0.458841190963563
"15","fieldSpecific","Computer.science",0.492185,0.4,0.59,85,0.05818,1000,-0.134324510140942,0.458841190963563
"16","fieldSpecific","Genetics",0.482075,0.39,0.56,101,0.051526,1000,-0.347882622365408,0.458841190963563
"17","fieldSpecific","Informatics",0.456912,0.25,0.71,12,0.143767,993,-0.299707165065697,0.458841190963563
"18","fieldSpecific","Statistics",0.455552,0.15,0.87,17,0.219851,999,-0.202173290091926,0.458841190963563
"19","fieldSpecific","Molecular.biology",0.445715,0.29,0.61,17,0.102265,998,-0.530826773578448,0.458841190963563
"20","fieldSpecific","Biochemistry",0.437547,0.24,0.6,28,0.113247,1000,-0.551475977288581,0.458841190963563
"21","fieldSpecific","Bioinformatics",0.42619,0.33,0.53,98,0.058641,1000,-1.25867567060589,0.458841190963563
