fieldLayer	field	meanWins	lowCI	highCI	count	standardDeviation	N
expertiseArea	Development	0.507637	0.390000	0.630000	89	0.073892	1000
expertiseArea	Domain	0.493335	0.420000	0.560000	174	0.043910	1000
expertiseArea	Interdisciplinary	0.461013	0.390000	0.540000	179	0.044987	1000
fieldGeneral	Technologies	0.701855	0.530000	0.860000	16	0.105201	998
fieldGeneral	Maths/Stats	0.536197	0.330000	0.750000	38	0.124119	1000
fieldGeneral	Computer.sciences	0.482320	0.400000	0.570000	95	0.054928	1000
fieldGeneral	Biological.sciences	0.467864	0.420000	0.520000	313	0.031857	1000
fieldGeneral	Health.sciences	0.360596	0.070000	0.730000	10	0.198065	962
fieldGeneral	Engineering	0.341512	0.170000	0.590000	23	0.127933	1000
fieldSpecific	Medical.informatics	0.701855	0.530000	0.860000	16	0.105201	998
fieldSpecific	Mathematics	0.585122	0.220000	0.890000	12	0.212738	998
fieldSpecific	Molecular.medicine	0.579654	0.260000	0.850000	12	0.186517	1000
fieldSpecific	Biostatistics	0.572388	0.310000	0.790000	21	0.147319	1000
fieldSpecific	Biology	0.543352	0.390000	0.740000	15	0.105309	999
fieldSpecific	Computer.science	0.492185	0.400000	0.590000	85	0.058180	1000
fieldSpecific	Genetics	0.482075	0.390000	0.560000	101	0.051526	1000
fieldSpecific	Informatics	0.456912	0.250000	0.710000	12	0.143767	993
fieldSpecific	Statistics	0.455552	0.150000	0.870000	17	0.219851	999
fieldSpecific	Molecular.biology	0.445715	0.290000	0.610000	17	0.102265	998
fieldSpecific	Biochemistry	0.437547	0.240000	0.600000	28	0.113247	1000
fieldSpecific	Bioinformatics	0.426190	0.330000	0.530000	98	0.058641	1000
