expertiseArea	Development	0.51	[0.39, 0.63]
expertiseArea	Domain	0.49	[0.42, 0.57]
expertiseArea	Interdisciplinary	0.46	[0.39, 0.53]
fieldGeneral	Biologicalsciences	0.47	[0.42, 0.52]
fieldGeneral	Computersciences	0.48	[0.39, 0.58]
fieldGeneral	Engineering	0.34	[0.17, 0.63]
fieldGeneral	Healthsciences	0.35	[0.05, 0.73]
fieldGeneral	MathematicsandStatistics	0.53	[0.34, 0.74]
fieldGeneral	Technologies	0.70	[0.52, 0.84]
fieldSpecific	Biochemistry	0.43	[0.24, 0.61]
fieldSpecific	Bioinformatics	0.43	[0.34, 0.53]
fieldSpecific	Biology/biologicalsciences	0.54	[0.38, 0.75]
fieldSpecific	Biostatistics	0.57	[0.30, 0.79]
fieldSpecific	Computerscience	0.49	[0.39, 0.59]
fieldSpecific	Genetics	0.49	[0.40, 0.57]
fieldSpecific	Informatics	0.46	[0.25, 0.69]
fieldSpecific	Mathematics	0.58	[0.21, 0.89]
fieldSpecific	Medicalinformatics	0.70	[0.52, 0.84]
fieldSpecific	Molecularbiology	0.45	[0.29, 0.62]
fieldSpecific	Molecularmedicine	0.59	[0.28, 0.84]
fieldSpecific	Statistics	0.45	[0.16, 0.86]
