			numMethods	accuracyMetric	accuracySource	
1	17151342	1	12	median rank(MCC)	Fig. 2A	Freyhult, E. K., Bollback, J. P., & Gardner, P. P. (2007). Exploring genomic dark matter: a critical assessment of the performance of homology search methods on noncoding RNA. Genome research, 17(1), 117-125.
1	17151342	2	12	median rank(MCC)	Fig. 2B	Freyhult, E. K., Bollback, J. P., & Gardner, P. P. (2007). Exploring genomic dark matter: a critical assessment of the performance of homology search methods on noncoding RNA. Genome research, 17(1), 117-125.
1	17151342	3	5	median rank(MCC)	Fig. 3A	Freyhult, E. K., Bollback, J. P., & Gardner, P. P. (2007). Exploring genomic dark matter: a critical assessment of the performance of homology search methods on noncoding RNA. Genome research, 17(1), 117-125.
1	17151342	4	5	median rank(MCC)	Fig. 3B	Freyhult, E. K., Bollback, J. P., & Gardner, P. P. (2007). Exploring genomic dark matter: a critical assessment of the performance of homology search methods on noncoding RNA. Genome research, 17(1), 117-125.
2	20047664	5	5	Average topological error rate	Fig. 3c/f	Swenson, M. S., Barbançon, F., Warnow, T., & Linder, C. R. (2010). A simulation study comparing supertree and combined analysis methods using SMIDGen. Algorithms for Molecular Biology, 5(1), 1.
3	25198770	6	9	NGA50	Fig. 2A S.aureus (COL) Mis2x150bp	Jünemann S, Prior K, Albersmeier A, Albaum S, Kalinowski J, Goesmann A, Stoye J, Harmsen D. GABenchToB: a genome assembly benchmark tuned on bacteria and benchtop sequencers. PloS one. 2014 Sep 8;9(9):e107014.
3	25198770	7	9	Misassemblies	Fig. 2B S.aureus (COL) Mis2x150bp	Jünemann S, Prior K, Albersmeier A, Albaum S, Kalinowski J, Goesmann A, Stoye J, Harmsen D. GABenchToB: a genome assembly benchmark tuned on bacteria and benchtop sequencers. PloS one. 2014 Sep 8;9(9):e107014.
3	25198770	8	9	NGA50	Fig. 2A E.coli (SAKAI) Mis2x150bp	Jünemann S, Prior K, Albersmeier A, Albaum S, Kalinowski J, Goesmann A, Stoye J, Harmsen D. GABenchToB: a genome assembly benchmark tuned on bacteria and benchtop sequencers. PloS one. 2014 Sep 8;9(9):e107014.
3	25198770	9	9	Misassemblies	Fig. 2B E.coli (SAKAI) Mis2x150bp	Jünemann S, Prior K, Albersmeier A, Albaum S, Kalinowski J, Goesmann A, Stoye J, Harmsen D. GABenchToB: a genome assembly benchmark tuned on bacteria and benchtop sequencers. PloS one. 2014 Sep 8;9(9):e107014.
3	25198770	10	9	NGA50	Fig. 2A S.aureus (COL) Mis2x250bp	Jünemann S, Prior K, Albersmeier A, Albaum S, Kalinowski J, Goesmann A, Stoye J, Harmsen D. GABenchToB: a genome assembly benchmark tuned on bacteria and benchtop sequencers. PloS one. 2014 Sep 8;9(9):e107014.
3	25198770	11	9	Misassemblies	Fig. 2B S.aureus (COL) Mis2x250bp 	Jünemann S, Prior K, Albersmeier A, Albaum S, Kalinowski J, Goesmann A, Stoye J, Harmsen D. GABenchToB: a genome assembly benchmark tuned on bacteria and benchtop sequencers. PloS one. 2014 Sep 8;9(9):e107014.
3	25198770	12	9	NGA50	Fig. 2A E.coli (SAKAI) Mis2x250bp	Jünemann S, Prior K, Albersmeier A, Albaum S, Kalinowski J, Goesmann A, Stoye J, Harmsen D. GABenchToB: a genome assembly benchmark tuned on bacteria and benchtop sequencers. PloS one. 2014 Sep 8;9(9):e107014.
3	25198770	13	9	Misassemblies	Fig. 2B E.coli (SAKAI) Mis2x250bp	Jünemann S, Prior K, Albersmeier A, Albaum S, Kalinowski J, Goesmann A, Stoye J, Harmsen D. GABenchToB: a genome assembly benchmark tuned on bacteria and benchtop sequencers. PloS one. 2014 Sep 8;9(9):e107014.
3	25198770	14	9	NGA50	Fig. 2A M.tuberculosis (H37) Mis2x250bp	Jünemann S, Prior K, Albersmeier A, Albaum S, Kalinowski J, Goesmann A, Stoye J, Harmsen D. GABenchToB: a genome assembly benchmark tuned on bacteria and benchtop sequencers. PloS one. 2014 Sep 8;9(9):e107014.
3	25198770	15	9	Misassemblies	Fig. 2B M.tuberculosis (H37) Mis2x250bp	Jünemann S, Prior K, Albersmeier A, Albaum S, Kalinowski J, Goesmann A, Stoye J, Harmsen D. GABenchToB: a genome assembly benchmark tuned on bacteria and benchtop sequencers. PloS one. 2014 Sep 8;9(9):e107014.
3	25198770	16	9	NGA50	Fig. 2A S.aureus (COL) PGM200bp	Jünemann S, Prior K, Albersmeier A, Albaum S, Kalinowski J, Goesmann A, Stoye J, Harmsen D. GABenchToB: a genome assembly benchmark tuned on bacteria and benchtop sequencers. PloS one. 2014 Sep 8;9(9):e107014.
3	25198770	17	9	Misassemblies	Fig. 2B S.aureus (COL) PGM200bp	Jünemann S, Prior K, Albersmeier A, Albaum S, Kalinowski J, Goesmann A, Stoye J, Harmsen D. GABenchToB: a genome assembly benchmark tuned on bacteria and benchtop sequencers. PloS one. 2014 Sep 8;9(9):e107014.
3	25198770	18	9	NGA50	Fig. 2A E.coli (SAKAI) PGM200bp	Jünemann S, Prior K, Albersmeier A, Albaum S, Kalinowski J, Goesmann A, Stoye J, Harmsen D. GABenchToB: a genome assembly benchmark tuned on bacteria and benchtop sequencers. PloS one. 2014 Sep 8;9(9):e107014.
3	25198770	19	9	Misassemblies	Fig. 2B E.coli (SAKAI) PGM200bp	Jünemann S, Prior K, Albersmeier A, Albaum S, Kalinowski J, Goesmann A, Stoye J, Harmsen D. GABenchToB: a genome assembly benchmark tuned on bacteria and benchtop sequencers. PloS one. 2014 Sep 8;9(9):e107014.
3	25198770	20	9	NGA50	Fig. 2A S.aureus (COL) PGM400bp	Jünemann S, Prior K, Albersmeier A, Albaum S, Kalinowski J, Goesmann A, Stoye J, Harmsen D. GABenchToB: a genome assembly benchmark tuned on bacteria and benchtop sequencers. PloS one. 2014 Sep 8;9(9):e107014.
3	25198770	21	9	Misassemblies	Fig. 2B S.aureus (COL) PGM400bp	Jünemann S, Prior K, Albersmeier A, Albaum S, Kalinowski J, Goesmann A, Stoye J, Harmsen D. GABenchToB: a genome assembly benchmark tuned on bacteria and benchtop sequencers. PloS one. 2014 Sep 8;9(9):e107014.
3	25198770	22	9	NGA50	Fig. 2A E.coli (SAKAI) PGM400bp	Jünemann S, Prior K, Albersmeier A, Albaum S, Kalinowski J, Goesmann A, Stoye J, Harmsen D. GABenchToB: a genome assembly benchmark tuned on bacteria and benchtop sequencers. PloS one. 2014 Sep 8;9(9):e107014.
3	25198770	23	9	Misassemblies	Fig. 2B E.coli (SAKAI) PGM400bp	Jünemann S, Prior K, Albersmeier A, Albaum S, Kalinowski J, Goesmann A, Stoye J, Harmsen D. GABenchToB: a genome assembly benchmark tuned on bacteria and benchtop sequencers. PloS one. 2014 Sep 8;9(9):e107014.
3	25198770	24	9	NGA50	Fig. 2A M.tuberculosis (H37) PGM400bp	Jünemann S, Prior K, Albersmeier A, Albaum S, Kalinowski J, Goesmann A, Stoye J, Harmsen D. GABenchToB: a genome assembly benchmark tuned on bacteria and benchtop sequencers. PloS one. 2014 Sep 8;9(9):e107014.
