tool	Informatics	Medicalinformatics	Bioinformatics	Computerscience	Molecularbiology	Molecularmedicine	Mathematics	Biostatistics	Statistics	Genetics	Biology/biologicalsciences	Biochemistry
adtex	0	0	0	0	0	0	0	0	0	0	0	0
antepiseeker	0	0	1	0	0	0	0	0	1	0	0	0
apg	0	0	0	1	0	0	0	0	0	0	0	0
asgenseng	0	0	0	0	0	0	0	0	0	1	0	0
baliphy	0	0	0	0	0	0	1	0	0	1	0	0
barry	0	0	0	0	0	0	0	0	1	0	0	0
batalign	0	0	0	1	0	0	0	0	0	0	0	0
bellerophontes	0	0	0	0	0	0	0	0	0	0	0	0
bfast	0	0	0	0	0	0	0	0	0	1	0	0
bfc	0	0	0	0	0	0	0	0	0	1	0	0
bicseq	1	0	0	0	0	0	0	0	0	1	0	0
binpacker	0	0	0	1	0	0	0	0	0	0	0	0
bismark	0	0	1	0	0	0	0	0	0	0	0	0
bismarkbowtiela	0	0	1	0	0	0	0	0	0	0	0	0
bismarkbowtielb	0	0	1	0	0	0	0	0	0	0	0	0
bismarkbowtielc	0	0	1	0	0	0	0	0	0	0	0	0
biss	0	0	1	0	0	0	0	0	0	0	0	0
bless	0	0	0	0	0	0	0	0	0	0	0	0
blue	1	0	0	0	0	0	0	0	0	0	0	0
bmp	0	0	0	0	0	0	0	0	0	0	0	0
boost	0	0	0	0	0	0	0	0	0	0	0	0
bowtie	0	0	1	0	0	0	0	0	0	0	0	0
bowtie2	0	0	1	0	0	0	0	0	0	0	0	0
bowtiestar	0	0	1	0	0	0	0	0	0	0	0	0
bratbw	0	0	0	1	0	0	0	0	0	0	0	0
breakdancer	0	0	0	0	0	0	0	0	0	1	0	0
breakseek	0	0	1	0	0	0	0	0	0	0	0	0
breakseq	0	0	1	0	0	0	0	0	0	0	0	0
bridger	0	0	0	0	0	0	1	0	0	0	0	0
bsmap	0	0	0	0	0	0	0	1	0	0	0	0
bsmooth	0	0	0	0	0	0	0	1	0	0	0	0
bsseeker	0	0	0	0	0	0	0	0	0	0	1	0
buckycon	0	0	0	0	0	0	0	0	1	0	0	0
buckymrbayes	0	0	0	0	0	0	0	0	1	0	0	0
buckymrbayesspa	0	0	0	0	0	0	0	0	1	0	0	0
buckypop	0	0	0	0	0	0	0	0	1	0	0	0
buckyraxml	0	0	0	0	0	0	0	0	1	0	0	0
builder	0	0	0	0	1	0	0	0	0	0	0	0
bwapssm	0	0	0	0	0	0	0	0	0	0	1	0
calista	0	0	0	0	0	0	0	0	0	0	0	0
caml	0	0	1	0	0	0	0	0	0	0	0	0
camp	0	0	0	0	0	0	0	0	0	0	0	0
canu	0	0	1	0	0	0	0	0	0	0	0	0
carma	0	0	1	0	0	0	0	0	0	0	0	0
casdesigner	0	0	0	0	0	0	0	0	0	0	0	0
ce	0	0	0	0	0	0	0	0	0	0	0	0
cellrouter	0	0	0	0	0	0	0	0	0	0	0	0
celltrails	0	0	0	0	0	0	0	0	0	0	0	0
celltreegibbs	0	0	0	0	0	0	0	0	0	0	0	0
celltreemaptpx	0	0	0	0	0	0	0	0	0	0	0	0
celltreevem	0	0	0	0	0	0	0	0	0	0	0	0
cg	0	1	0	0	0	0	0	0	0	0	0	0
chimerascan	0	0	0	0	0	0	0	0	0	0	0	0
chimpipe	0	0	0	0	0	0	0	0	0	1	0	0
chisquare	0	0	0	0	0	0	0	0	0	0	0	0
chopchop	0	0	0	0	1	0	0	0	0	0	0	0
clark	0	0	0	1	0	0	0	0	0	0	0	0
clarks	0	0	0	1	0	0	0	0	0	0	0	0
clever	0	0	0	1	0	0	0	0	0	1	0	0
clustal	0	0	0	0	0	1	0	0	0	0	0	0
clustalomega	0	0	0	0	0	1	0	0	0	0	0	0
clustalw	0	0	0	0	1	0	0	0	0	0	0	0
cnmops	0	0	1	0	0	0	0	0	0	0	0	0
cnvkit	0	0	0	0	0	0	0	0	0	0	0	0
cnvnator	0	0	1	0	0	0	0	0	0	0	0	0
cnvnorm	0	0	0	0	0	0	0	0	1	0	0	0
cnvseq	0	0	0	0	0	0	0	0	0	0	1	1
colormap	0	0	0	0	0	0	1	0	0	0	0	0
combat	0	0	0	0	0	0	0	1	0	0	0	0
conifer	0	0	0	0	0	0	0	0	0	1	0	0
contextmap	1	0	0	0	0	0	0	0	0	0	0	0
contra	0	0	1	0	0	0	0	0	0	0	0	0
contralign	0	0	0	1	0	0	0	0	0	0	0	0
controlfreec	0	0	1	0	0	0	0	0	0	0	0	0
coprarna	0	0	1	0	0	0	0	0	0	1	0	0
coral	0	0	0	1	0	0	0	0	0	0	0	0
cortex	0	0	0	0	0	0	0	0	1	1	0	0
cosine	0	0	0	1	0	0	0	0	0	0	0	0
crac	1	0	0	0	0	0	0	0	0	0	0	0
crest	0	0	1	0	0	0	0	0	0	0	0	0
