tool	yearPublished	generalField	specificField
antepiseeker	2010	Biological.sciences	Bioinformatics
antepiseeker	2010	Maths/Stats	Statistics
apg	2008	Computer.sciences	Computer.science
asgenseng	2015	Biological.sciences	Genetics
baliphy	2006	Biological.sciences	Genetics
baliphy	2006	Maths/Stats	Mathematics
barry	1987	Maths/Stats	Statistics
batalign	2015	Computer.sciences	Computer.science
bfast	2009	Biological.sciences	Genetics
bfc	2015	Biological.sciences	Genetics
bicseq	2011	Biological.sciences	Genetics
bicseq	2011	Computer.sciences	Informatics
binpacker	2016	Computer.sciences	Computer.science
bismark	2011	Biological.sciences	Bioinformatics
bismarkbowtiela	2011	Biological.sciences	Bioinformatics
bismarkbowtielb	2011	Biological.sciences	Bioinformatics
bismarkbowtielc	2011	Biological.sciences	Bioinformatics
biss	2012	Biological.sciences	Bioinformatics
blue	2014	Computer.sciences	Informatics
bowtie	2009	Biological.sciences	Bioinformatics
bowtie2	2012	Biological.sciences	Bioinformatics
bowtiestar	2009	Biological.sciences	Bioinformatics
bratbw	2010	Computer.sciences	Computer.science
breakdancer	2009	Biological.sciences	Genetics
breakseek	2015	Biological.sciences	Bioinformatics
breakseq	2010	Biological.sciences	Bioinformatics
bridger	2015	Maths/Stats	Mathematics
bsmap	2009	Biological.sciences	Biostatistics
bsmooth	2012	Biological.sciences	Biostatistics
buckycon	2010	Maths/Stats	Statistics
buckymrbayes	2010	Maths/Stats	Statistics
buckymrbayesspa	2010	Maths/Stats	Statistics
buckypop	2010	Maths/Stats	Statistics
buckyraxml	2010	Maths/Stats	Statistics
builder	 1995	Biological.sciences	Molecular.biology
caml	2006	Biological.sciences	Bioinformatics
canu	2017	Biological.sciences	Bioinformatics
carma	2008	Biological.sciences	Bioinformatics
cg	2018	Technologies	Medical.informatics
chimpipe	2017	Biological.sciences	Genetics
chopchop	2014	Biological.sciences	Molecular.biology
clark	2015	Computer.sciences	Computer.science
clarks	2015	Computer.sciences	Computer.science
clever	2012	Computer.sciences	Computer.science
clever	2012	Biological.sciences	Genetics
clustal	2011	Biological.sciences	Molecular.medicine
clustalomega	2011	Biological.sciences	Molecular.medicine
clustalw	 2007	Biological.sciences	Molecular.biology
cnmops	2012	Biological.sciences	Bioinformatics
cnvnator	2011	Biological.sciences	Bioinformatics
cnvnorm	2012	Maths/Stats	Statistics
cnvseq	2009	Biological.sciences	Biochemistry
colormap	2016	Maths/Stats	Mathematics
combat	2007	Biological.sciences	Biostatistics
conifer	2012	Biological.sciences	Genetics
contextmap	2015	Computer.sciences	Informatics
contra	2012	Biological.sciences	Bioinformatics
contralign	2006	Computer.sciences	Computer.science
controlfreec	2012	Biological.sciences	Bioinformatics
coprarna	2013	Biological.sciences	Bioinformatics
coprarna	2013	Biological.sciences	Genetics
coral	2011	Computer.sciences	Computer.science
cortex	2012	Biological.sciences	Genetics
cortex	2012	Maths/Stats	Statistics
cosine	2007	Computer.sciences	Computer.science
crac	2013	Computer.sciences	Informatics
crest	2011	Biological.sciences	Bioinformatics
crisp	2010	Biological.sciences	Genetics
crispor	2016	Biological.sciences	Genetics
crisprdo	2016	Biological.sciences	Bioinformatics
cromwell	2005	Biological.sciences	Biostatistics
csblast	2009	Biological.sciences	Genetics
csblast	2009	Biological.sciences	Biochemistry
cushaw	2014	Computer.sciences	Informatics
dali	 2000	Biological.sciences	Molecular.biology
delly	2012	Biological.sciences	Molecular.biology
delly	2012	Biological.sciences	Genetics
deseq2	2014	Biological.sciences	Molecular.biology
deseq2	2014	Biological.sciences	Genetics
desingle	2018	Biological.sciences	Bioinformatics
dexseq	2012	Biological.sciences	Molecular.biology
dialignt	2005	Biological.sciences	Genetics
dialigntx	2008	Biological.sciences	Genetics
diffsplice	2013	Computer.sciences	Computer.science
diffsplice	2013	Biological.sciences	Molecular.medicine
diginormvelvet	 2008	Computer.sciences	Computer.science
diginormvelvet	 2008	Biological.sciences	Genetics
dima	 2013	Computer.sciences	Computer.science
dima	 2013	Biological.sciences	Genetics
dpt	2016	Biological.sciences	Bioinformatics
dsgseq	2013	Biological.sciences	Bioinformatics
ebi	2014	Biological.sciences	Bioinformatics
echo	2011	Computer.sciences	Computer.science
echo	2011	Maths/Stats	Statistics
ectools	2014	Computer.sciences	Computer.science
edenanonstrict	2008	Biological.sciences	Genetics
edenastrict	2008	Biological.sciences	Genetics
edger	2010	Biological.sciences	Bioinformatics
edit	2007	Computer.sciences	Computer.science
elpigraph	2020	Biological.sciences	Bioinformatics
elpigraphcycle	2020	Biological.sciences	Bioinformatics
elpigraphlinear	2020	Biological.sciences	Bioinformatics
embeddr	2015	Biological.sciences	Genetics
epimode	2009	Biological.sciences	Bioinformatics
erds	2012	Biological.sciences	Genetics
ericscript	2012	Biological.sciences	Genetics
exomecnv	2011	Biological.sciences	Biostatistics
exomecnv	2011	Biological.sciences	Genetics
exomecopy	2011	Biological.sciences	Genetics
fasta	 1988	Biological.sciences	Biochemistry
fastlbd	2011	Biological.sciences	Genetics
fastlbd	2011	Biological.sciences	Biostatistics
fastmnn	2018	Biological.sciences	Bioinformatics
fermikit	2015	Biological.sciences	Genetics
fiona	2014	Computer.sciences	Computer.science
fiona	2014	Biological.sciences	Bioinformatics
flashfry	2018	Biological.sciences	Genetics
flye	2016	Computer.sciences	Computer.science
fmlrc	2018	Biological.sciences	Genetics
forestsv	2012	Biological.sciences	Genetics
forks	2017	Biological.sciences	Bioinformatics
fusionmap	2011	Computer.sciences	Informatics
gasvpro	2012	Biological.sciences	Bioinformatics
gasvpro	2012	Computer.sciences	Computer.science
gatk	2010	Biological.sciences	Genetics
genie	2010	Computer.sciences	Computer.science
genomestrip	2011	Biological.sciences	Genetics
genometa	2012	Biological.sciences	Molecular.medicine
germline	2009	Computer.sciences	Computer.science
gojobori	1982	Biological.sciences	Genetics
goldman	1996	Biological.sciences	Genetics
gossamer	2011	Computer.sciences	Computer.science
gpfates	2017	Biological.sciences	Bioinformatics
grandprix	2019	Computer.sciences	Informatics
gridss	2017	Biological.sciences	Bioinformatics
gridss	2017	Biological.sciences	Molecular.medicine
grisl	2020	Biological.sciences	Bioinformatics
grnboost	2019	Biological.sciences	Bioinformatics
grnboost	2019	Biological.sciences	Genetics
gsnap	2010	Biological.sciences	Bioinformatics
harmony	2019	Computer.sciences	Computer.science
harmony	2019	Biological.sciences	Genetics
hhsearch	2005	Biological.sciences	Biochemistry
hisat	2015	Biological.sciences	Bioinformatics
hisat	2015	Biological.sciences	Biostatistics
hitec	2011	Computer.sciences	Computer.science
hitec	2011	Maths/Stats	Mathematics
hmmer	1998	Biological.sciences	Genetics
hshrec	2010	Computer.sciences	Computer.science
hydra	2010	Biological.sciences	Genetics
ibdseq	2013	Biological.sciences	Molecular.medicine
icopydav	2018	Biological.sciences	Bioinformatics
idbatran	2013	Computer.sciences	Computer.science
idbaud	2012	Computer.sciences	Computer.science
igtpduplossft	2010	Computer.sciences	Computer.science
indelminer	2015	Biological.sciences	Bioinformatics
infernal	2002	Biological.sciences	Genetics
infusion	2016	Biological.sciences	Molecular.biology
intarna	2008	Biological.sciences	Bioinformatics
jabba	2015	Biological.sciences	Bioinformatics
jaffa	2015	Biological.sciences	Genetics
jaffaassembly	2015	Biological.sciences	Genetics
jaffadirect	2015	Biological.sciences	Genetics
jaffahybrid	2015	Biological.sciences	Genetics
kalign	2005	Biological.sciences	Genetics
kalign	2005	Biological.sciences	Bioinformatics
karect	2015	Computer.sciences	Computer.science
khmer	2014	Computer.sciences	Computer.science
khmer	2014	Biological.sciences	Genetics
kmergenie	2014	Computer.sciences	Computer.science
kmergenie	2014	Biological.sciences	Biochemistry
kmerstream	2014	Computer.sciences	Computer.science
